index;x;y;z
0;0.052505;-0.670914;-0.830338
1;0.016068;-0.686661;-0.892792
2;-0.134140;-0.514450;-0.912415
3;-0.249390;-0.452118;-1.131210
4;-0.124084;-0.724060;-0.893036
5;-0.235916;-0.807297;-0.908875
6;-0.023834;-0.738373;-0.911377
7;0.006363;-0.669189;-0.833649
8;-0.099655;-0.461700;-0.983719
9;-0.072998;-0.396408;-0.887894
10;-0.067368;-0.329285;-0.740326
11;-0.100937;-0.320160;-0.631882
12;0.021713;-0.425522;-0.620193
13;0.037735;-0.467957;-0.602768
14;-0.031174;-0.473083;-0.709656
15;0.051712;-0.626923;-0.753403
16;-0.031311;-0.654465;-0.802597
17;-0.010391;-0.583344;-0.927948
18;0.005264;-0.573959;-1.093857
19;0.054932;-0.566498;-1.046402
20;0.215088;-0.558884;-1.036316
21;0.211227;-0.521210;-1.076813
22;0.148163;-0.410049;-1.117889
23;0.093658;-0.333923;-1.026566
24;0.058792;-0.313217;-0.874619
25;0.127502;-0.348038;-0.739822
26;0.147339;-0.330383;-0.637222
27;0.132202;-0.393188;-0.586853
28;0.207428;-0.496460;-0.817490
29;0.043671;-0.345154;-0.812653
30;-0.031830;-0.390182;-0.635605
31;0.125381;-0.556915;-0.615982
32;0.148834;-0.696106;-0.669312
33;0.013916;-0.695221;-0.965149
34;-0.218872;-0.594666;-1.171478
35;-0.172302;-0.597305;-1.129776
36;-0.105118;-0.613159;-1.123993
37;-0.106140;-0.542267;-1.157379
38;-0.109024;-0.414902;-1.143906
39;-0.130051;-0.321747;-0.873535
40;-0.072906;-0.327515;-0.575592
41;0.045334;-0.433746;-0.653427
42;0.003738;-0.408463;-0.768265
43;-0.114441;-0.356339;-0.729431
44;-0.004913;-0.438477;-0.747757
45;0.057999;-0.550140;-0.690979
46;0.106567;-0.647614;-0.720520
47;0.129776;-0.703461;-0.872192
48;0.055573;-0.724976;-0.927750
49;-0.011322;-0.693665;-0.957520
50;0.004227;-0.770050;-0.948685
51;-0.031708;-0.813660;-1.070038
52;-0.177704;-0.636200;-1.182190
53;-0.229385;-0.444565;-1.087784
54;-0.079056;-0.363541;-0.890579
55;0.088989;-0.405823;-0.868301
56;0.054245;-0.338211;-0.866608
57;0.011795;-0.271561;-0.730225
58;0.068283;-0.372971;-0.611969
59;0.125381;-0.508148;-0.640610
60;0.033401;-0.443436;-0.696671
61;0.009933;-0.423019;-0.635483
62;0.116714;-0.565796;-0.570221
63;0.139160;-0.664581;-0.539444
64;0.090958;-0.667343;-0.633133
65;-0.065170;-0.546158;-0.731903
66;-0.167648;-0.389069;-0.658005
67;-0.227066;-0.227127;-0.457596
68;-0.297958;-0.012833;-0.276154
69;-0.331924;-0.121552;-0.414688
70;-0.516708;-0.307251;-0.824463
71;-1.215546;0.052170;-1.294159
72;-1.238297;-0.143097;-1.528580
73;-1.189423;-0.359390;-1.395248
74;-0.846130;-0.362503;-0.981354
75;-0.545563;-0.225403;-0.663589
76;-0.324631;-0.126266;-0.418442
77;-0.212067;-0.031601;-0.271652
78;-0.223801;0.051086;-0.213043
79;-0.323715;0.134644;-0.218246
80;-0.513046;0.224991;-0.243103
81;-0.688416;0.374710;-0.304169
82;-1.127716;0.630051;-0.431641
83;-1.558594;0.917603;-0.609848
84;-2.014404;1.110855;-0.782333
85;-2.056168;0.788406;-0.983749
86;-1.788696;0.438065;-1.179596
87;-1.424484;0.642105;-0.807678
88;-1.085251;0.575653;-0.527054
89;-0.681061;0.213791;-0.259384
90;-0.667923;0.152145;-0.146729
91;-0.652512;0.152328;-0.113937
92;-0.481567;-0.041138;-0.306305
93;-0.610336;0.116028;-0.430771
94;-0.672089;0.276398;-0.389709
95;-0.627243;0.369171;-0.348694
96;-0.798798;0.527023;-0.331985
97;-1.000198;0.616562;-0.360718
98;-1.144379;0.739334;-0.355179
99;-1.056229;0.699539;-0.334427
100;-0.993530;0.717117;-0.310852
101;-0.959686;0.622681;-0.218231
102;-0.724091;0.345337;-0.224380
103;-0.769257;0.287262;-0.285339
104;-0.986908;0.493546;-0.214508
105;-0.776352;0.295303;-0.219452
106;-0.556000;0.142609;-0.229370
107;-0.501251;0.153641;-0.204056
108;-0.493134;0.161026;-0.212967
109;-0.527313;0.223495;-0.226791
110;-0.685211;0.342163;-0.228119
111;-0.826675;0.376877;-0.299667
112;-1.018707;0.405396;-0.326523
113;-1.197678;0.454361;-0.367172
114;-1.321167;0.524231;-0.368652
115;-1.274094;0.538895;-0.356445
116;-1.353271;0.732040;-0.315369
117;-1.266586;0.483093;-0.334167
118;-1.181290;0.371597;-0.428528
119;-1.141251;0.416367;-0.432541
120;-0.997330;0.338394;-0.393616
121;-0.856644;0.156021;-0.361832
122;-0.884476;0.256058;-0.307175
123;-0.859238;0.372879;-0.283646
124;-0.740341;0.314957;-0.311691
125;-0.712585;0.276062;-0.299042
126;-0.710159;0.334778;-0.248962
127;-0.694550;0.445282;-0.223328
128;-0.657532;0.525528;-0.230209
129;-0.672043;0.556808;-0.243118
130;-0.780579;0.599152;-0.258682
131;-0.959991;0.622101;-0.210571
132;-1.020340;0.673416;-0.200165
133;-0.935837;0.590942;-0.219894
134;-0.897125;0.392487;-0.276703
135;-1.106293;0.495132;-0.281952
136;-1.093491;0.450317;-0.203354
137;-0.834793;0.145370;-0.213043
138;-0.699600;0.040680;-0.187378
139;-0.677811;0.126770;-0.171570
140;-0.666183;0.200302;-0.205719
141;-0.717468;0.279129;-0.225357
142;-0.828079;0.374222;-0.211807
143;-0.894272;0.408768;-0.214157
144;-0.916824;0.385574;-0.241348
145;-1.020279;0.432236;-0.244888
146;-1.095078;0.509857;-0.243912
147;-1.151459;0.551132;-0.281723
148;-1.305542;0.697220;-0.340134
149;-1.325439;0.506958;-0.448914
150;-1.326813;0.233551;-0.571426
